Variable,Description,
ID,Customer ID,
TENURE,Customer duration with Kation since registration date,
AGE,Customer age,
GENDER,Customer gender,
STATE,Customer hometown (state),
STATUS_AFTER,Customer status after campaign ended,
OFFER_TAKER,Indicator for customers who opted-in the migration plan,
OFFER_TAKE_UP_DT,Date for customers who opted-in the migration plan,
ARPU_BEFORE,ARPU before campaign launched,
ARPU_AFTER,ARPU after campaign ended,
New added variables:,,
AREA_CD,Customer area code,
REGION,Customer region,
OFFER_CD,Code of the offer customer opted in,
OFFER_NAME,Name of the offer customer opted in,
OFFER_TYPE,Type of the offer customer opted in,
TIME_CD,Code of the offer take up time ,
MONTH,Month of the offer take up date ,
YEAR,Year of the offer take up date ,
